Process,Rev_num,Sw_rev,Sw,Pc,krw,kro
0,0,1,0.995022316,2037.561739,0.985263495,0
0,0,1,0.985058757,1941.196066,0.957020677,0
0,0,1,0.975046705,954.4967571,0.951861542,0
0,0,1,0.965049729,1006.135688,0.868515495,0
0,0,1,0.95505948,1082.32372,0.856206502,0
0,0,1,0.945075262,1885.366907,0.838634742,0
0,0,1,0.935097252,1700.454279,0.795926416,0
0,0,1,0.925121945,2141.082514,0.764286905,0
0,0,1,0.915157274,2357.805375,0.747194501,0
0,0,1,0.905186982,2102.931975,0.693593748,0
0,0,1,0.895214981,2030.953259,0.624824672,0
0,0,1,0.885248591,2116.671273,0.535037949,0
0,0,1,0.875274174,2083.123548,0.489797852,0
0,0,1,0.865302555,2282.455998,0.454339688,0
0,0,1,0.855330167,2195.245355,0.456913691,0
0,0,1,0.845352251,2440.354596,0.447452689,0
0,0,1,0.835376142,2598.51158,0.435836412,0
0,0,1,0.825386341,3237.108129,0.420109739,0
0,0,1,0.815431295,2378.959971,0.413532366,0
0,0,1,0.805446181,2552.774834,0.408921033,0
0,0,1,0.795469835,3208.14353,0.400833546,0
0,0,1,0.78549386,2996.265246,0.399406124,0.095000761
0,0,1,0.775520433,3274.331555,0.394468053,0.108480533
0,0,1,0.765552031,2808.059577,0.394191507,0.12214658
0,0,1,0.755573214,3277.196705,0.392432572,0.133017964
0,0,1,0.745624773,2073.784704,0.379270622,0.143239102
0,0,1,0.735641031,2370.548823,0.376345823,0.148420687
0,0,1,0.725648161,2532.455395,0.372806065,0.151596149
0,0,1,0.715677117,2565.178211,0.361820523,0.151902373
0,0,1,0.705695414,2736.059721,0.34901072,0.152587604
0,0,1,0.695734088,2552.507379,0.325671236,0.15533934
0,0,1,0.685761987,2550.499388,0.316571179,0.155353015
0,0,1,0.675787035,2859.247688,0.314530969,0.156530536
0,0,1,0.665827383,2186.34472,0.298370018,0.151012011
0,0,1,0.655851286,2471.186084,0.295923739,0.154068469
0,0,1,0.645863254,2530.9965,0.289245612,0.155252412
0,0,1,0.635877969,2866.141425,0.287806773,0.156731969
0,0,1,0.625886222,2974.774511,0.287290091,0.157247976
0,0,1,0.615917842,2723.779291,0.25236355,0.156381842
0,0,1,0.605937013,2844.684766,0.248207272,0.160252206
0,0,1,0.59597546,2365.918463,0.23220735,0.157354666
0,0,1,0.585998174,2646.053384,0.229785338,0.159313371
0,0,1,0.576015294,2969.176575,0.228007925,0.160790354
0,0,1,0.566029594,3072.587159,0.207773342,0.16134842
0,0,1,0.556063044,2866.264827,0.196343985,0.237373528
0,0,1,0.546088395,3102.148152,0.189417585,0.251253314
0,0,1,0.536109215,2861.768598,0.183788439,0.271094403
0,0,1,0.526134756,3078.293121,0.181823525,0.280223038
0,0,1,0.516166049,3487.719573,0.180172532,0.293832887
0,0,1,0.506155459,3244.361202,0.171397556,0.321974936
0,0,1,0.49617836,3605.827827,0.169886975,0.323510058
0,0,1,0.486190112,3641.039523,0.168841147,0.34321088
0,0,1,0.476207709,3027.250757,0.144300663,0.40831048
0,0,1,0.466221712,3122.58052,0.140614443,0.42074792
0,0,1,0.456256037,3001.930816,0.099688423,0.419949064
0,0,1,0.446279613,3297.413046,0.096050034,0.42392667
0,0,1,0.436303915,3678.361693,0.0952526,0.425766449
0,0,1,0.426312646,3298.937636,0.078446917,0.444873106
0,0,1,0.416325198,3474.849986,0.049640062,0.45409119
0,0,1,0.406368145,3231.917116,0.041071691,0.453074711
0,0,1,0.396397632,3622.673363,0.040398576,0.458975418
0,0,1,0.386407374,3568.160363,0.04024089,0.460813734
0,0,1,0.376432924,4053.692143,0.040069764,0.495291749
0,0,1,0.366439779,3396.224148,0.04004283,0.504285713
0,0,1,0.356464312,3831.739334,0.039816218,0.509102446
0,0,1,0.346459997,3901.9482,0.039780801,0.529562595
0,0,1,0.336475238,3940.179868,0.039684383,0.580789952
0,0,1,0.326535148,3355.002723,0.038719394,0.594860148
0,0,1,0.316569027,3804.659818,0.038618419,0.596347137
0,0,1,0.306562988,3757.651816,0.038449971,0.59717671
0,0,1,0.296578066,3682.613111,0.038444364,0.598284373
0,0,1,0.286610189,4133.767457,0.03836327,0.599550573
0,0,1,0.276627826,3870.321873,0.035216123,0.6123785
0,0,1,0.266639127,3999.406843,0.028621038,0.614341515
0,0,1,0.25666274,4192.292207,0.006023296,0.614948546
0,0,1,0.246695408,3741.594632,0.00500355,0.630969375
0,0,1,0.236720964,4183.286496,0,0.640851258
0,0,1,0.22676169,3513.500898,0.002582306,0.638914923
0,0,1,0.216779044,3500.66858,0.001414638,0.63897211
0,0,1,0.206816995,4013.483529,0.00129703,0.640538576
0,0,1,0.196822701,4340.608243,0,0.641393655
0,0,1,0.186822044,4554.265554,0,0.647513576
0,0,1,0.176822159,3952.93005,0,0.665512007
0,0,1,0.166845969,4598.909689,0,0.667619053
0,0,1,0.156836467,4475.100048,0,0.704676538
0,0,1,0.146840871,4823.354379,0,0.744979561
0,0,1,0.136829044,4223.478493,0,0.804768599
0,0,1,0.126858989,4899.793559,0,0.806643486
0,0,1,0.116839182,4675.279446,0,0.829145436
0,0,1,0.106850911,5292.857963,0,0.858913937
0,0,1,0.096833084,4868.263446,0,0.88012661
0,0,1,0.086844308,5792.561679,0,0.895340027
0,0,1,0.076803347,4629.55913,0,0.935642632
0,0,1,0.066831731,5788.404054,0,0.949706942
0,0,1,0.056770977,5644.368964,0,0.955124337
0,0,1,0.046768919,6245.834732,0,0.964666585
0,0,1,0.036763858,6802.30425,0,0.983162866
1,1,0.061788966,0.061788966,4838.500023,0,0.958182279
1,1,0.061788966,0.071806356,4149.074389,0,0.954792388
1,1,0.061788966,0.081833923,3687.677914,0,0.947704927
1,1,0.061788966,0.091880574,3406.567018,0,0.935099704
1,1,0.061788966,0.101899982,3187.767348,0,0.90891456
1,1,0.061788966,0.111900359,2947.785471,0,0.897014966
1,1,0.061788966,0.12194379,2839.910855,0,0.880223343
1,1,0.061788966,0.131913171,2741.17372,0,0.867976378
